((	Alt_Penedes	4544	PSC	Industria	1.03	0.00	0.00	0.22	0.33	1.01	0.00	0.02	0.09	0.09	1.25	0.11	p133	p128	p124	))
((	V_Oriental	716	CiU	Construccion	0.28	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	p133	p128	p124	))
((	V_Oriental	6047	PSC	Industria	2.83	0.00	0.00	0.86	0.51	0.45	0.00	0.00	0.33	0.45	0.74	0.30	p133	p128	p124	))
((	Alt_Penedes	2098	ERC	Industria	0.14	0.00	0.00	0.05	0.19	0.24	0.00	0.05	0.10	0.05	0.19	0.10	p133	p128	p124	))
((	Garraf	21057	PSC	Servicios	1.89	0.00	0.00	0.28	0.42	0.71	0.00	0.01	0.46	0.28	0.58	0.08	p129	p128	p124	))
((	V_Oriental	2326	CiU	Industria	4.00	0.00	0.00	2.32	0.00	0.04	0.00	0.04	0.95	0.64	0.43	0.30	m11	m12	m12	))
((	V_Occidental	18670	IC	Industria	1.26	0.00	0.00	0.04	0.13	0.24	0.00	0.00	0.02	0.10	0.18	0.11	p132	p128	p124	))
((	V_Oriental	333	CiU	Servicios	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	p133	p128	p124	))
((	V_Occidental	11994	CiU	Industria	4.59	0.00	0.00	0.13	0.47	0.84	0.00	0.00	0.06	0.26	0.80	0.32	p129	p128	p124	))
((	Maresme	1779	CiU	Servicios	1.74	0.00	0.00	2.02	0.34	4.61	0.06	0.06	0.51	4.10	1.80	0.45	p136	p128	p123	))
((	Alt_Penedes	2432	CiU	Industria	1.15	0.00	0.00	0.99	0.21	0.53	0.00	0.08	0.45	0.37	0.53	0.29	p133	p128	p124	))
((	Baix_Llobregat	24065	IC	Industria	2.71	0.00	0.68	0.25	0.22	0.26	0.00	0.08	0.08	0.21	0.31	0.04	p132	r156	z9	))
((	Maresme	2920	CiU	Servicios	8.80	0.00	0.00	3.80	1.40	0.89	0.00	0.17	0.55	0.89	3.46	1.03	p136	p128	p123	))
((	V_Oriental	197	CiU	Industria	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.00	1.02	0.51	0.00	0.00	m11	m12	m12	))
((	Maresme	5065	CiU	Servicios	1.56	0.00	0.00	0.81	0.49	0.41	0.00	0.00	0.02	0.71	0.41	0.57	p129	p128	p124	))
((	V_Occidental	168695	PSC	Servicios	1.67	0.13	0.27	0.05	0.12	1.24	0.00	0.01	0.18	0.20	0.98	0.04	p129	p128	p124	))
((	Maresme	5565	PSC	Servicios	1.42	1.04	0.00	0.13	0.11	1.35	0.00	0.00	0.36	0.05	1.04	0.13	p129	p128	p124	))
((	Maresme	9506	CiU	Industria	1.06	0.07	0.19	0.96	0.22	0.98	0.02	0.05	0.46	0.45	0.98	0.19	p129	p128	p124	))
((	Alt_Penedes	1177	CiU	Industria	0.34	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.17	0.00	0.00	p133	p128	p124	))
((	Alt_Penedes	1702	PSC	Construccion	0.35	0.00	0.00	0.59	0.06	0.41	0.00	0.06	0.24	0.18	0.53	0.06	p133	p128	p124	))
((	Baix_Llobregat	3377	Otros	Servicios	1.21	0.00	0.00	0.80	0.12	1.13	0.03	0.03	0.33	0.44	0.98	0.24	p129	p128	p124	))
((	V_Occidental	1079	CiU	Servicios	0.74	0.00	0.00	0.37	0.46	1.30	0.00	0.00	0.19	0.65	0.65	0.65	p129	p128	p124	))
